,gridStart,positionOrder,driverRef,year,round,circuitId,date,ageAtRace,ageAtDebut,yearsExperience,racingAtHome,driverStandingsPoints,driverStandingsPosition,driverStandingsWins,lastRaceRank,constructorStandingsPoints,constructorStandingsPosition,constructorStandingsWins,previousRaceGridStart,previousRacePosition,racesWon,racesRetired,racesFinished,polePositions,racesWonByConstructor,racesRetiredByConstructor,percentageOfBestQuali,finished,percentRetired,posGainedLastRace
0,3,12,fangio,1950,1,9,1950-05-13,38,38,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,0.0
1,11,18,chiron,1950,1,9,1950-05-13,50,50,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,0.0
2,13,6,gerard,1950,1,9,1950-05-13,36,36,0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
3,9,5,rosier,1950,1,9,1950-05-13,44,44,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
4,8,17,graffenried,1950,1,9,1950-05-13,36,36,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,0.0
5,1,1,farina,1950,1,9,1950-05-13,43,43,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
6,21,11,claes,1950,1,9,1950-05-13,33,33,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
7,10,20,peter_walker,1950,1,9,1950-05-13,37,37,0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,0.0
8,10,20,rolt,1950,1,9,1950-05-13,31,31,0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,0.0
9,5,14,bira,1950,1,9,1950-05-13,35,35,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,0.0
10,4,3,reg_parnell,1950,1,9,1950-05-13,38,38,0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
11,6,4,cabantous,1950,1,9,1950-05-13,45,45,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
12,14,8,etancelin,1950,1,9,1950-05-13,53,53,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
13,18,15,murray,1950,1,9,1950-05-13,40,40,0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,0.0
14,2,2,fagioli,1950,1,9,1950-05-13,51,51,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
15,20,10,shawe_taylor,1950,1,9,1950-05-13,35,35,0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,0.0,0.0
16,19,13,kelly,1950,1,9,1950-05-13,37,37,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,0.0
